epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
33,375.844,0.10242,0.92648,1,0.25764,0.0006832,0.0006832,0.0006832
34,387.116,0.10611,0.9256,1,0.2702,0.0006733,0.0006733,0.0006733
35,399.735,0.11123,0.91851,1,0.2664,0.0006634,0.0006634,0.0006634
36,411.42,0.09135,0.92737,1,0.2633,0.0006535,0.0006535,0.0006535
37,423.081,0.09692,0.91143,1,0.29466,0.0006436,0.0006436,0.0006436
38,435.625,0.10393,0.92117,1,0.28855,0.0006337,0.0006337,0.0006337
39,447.543,0.09264,0.9318,1,0.24645,0.0006238,0.0006238,0.0006238
40,458.607,0.08966,0.91585,1,0.31622,0.0006139,0.0006139,0.0006139
41,469.47,0.10278,0.92471,1,0.25449,0.000604,0.000604,0.000604
42,481.104,0.08976,0.91851,1,0.27185,0.0005941,0.0005941,0.0005941
43,492.703,0.08949,0.9194,1,0.30687,0.0005842,0.0005842,0.0005842
44,503.841,0.09475,0.93091,1,0.25468,0.0005743,0.0005743,0.0005743
45,515.515,0.08641,0.93091,1,0.24231,0.0005644,0.0005644,0.0005644
46,526.534,0.07597,0.91674,1,0.28529,0.0005545,0.0005545,0.0005545
47,537.703,0.08367,0.92648,1,0.26443,0.0005446,0.0005446,0.0005446
48,549,0.07307,0.93268,1,0.24466,0.0005347,0.0005347,0.0005347
49,559.898,0.07763,0.9256,1,0.25682,0.0005248,0.0005248,0.0005248
50,570.834,0.08282,0.9318,1,0.25774,0.0005149,0.0005149,0.0005149
51,582.137,0.0695,0.93711,1,0.23362,0.000505,0.000505,0.000505
52,593.782,0.07169,0.92205,1,0.34253,0.0004951,0.0004951,0.0004951
53,604.366,0.07118,0.92648,1,0.29896,0.0004852,0.0004852,0.0004852
54,615.456,0.06749,0.93268,1,0.25764,0.0004753,0.0004753,0.0004753
55,626.629,0.06789,0.9318,1,0.26664,0.0004654,0.0004654,0.0004654
56,637.623,0.06472,0.93357,1,0.26527,0.0004555,0.0004555,0.0004555
57,648.814,0.06134,0.93268,1,0.28472,0.0004456,0.0004456,0.0004456
58,659.74,0.06023,0.92471,1,0.29957,0.0004357,0.0004357,0.0004357
59,670.471,0.06195,0.9318,1,0.31308,0.0004258,0.0004258,0.0004258
60,682.05,0.05491,0.93268,1,0.29976,0.0004159,0.0004159,0.0004159
61,692.937,0.05873,0.92826,1,0.32572,0.000406,0.000406,0.000406
62,703.878,0.06553,0.93268,1,0.32582,0.0003961,0.0003961,0.0003961
63,715.533,0.05755,0.92914,1,0.32246,0.0003862,0.0003862,0.0003862
64,726.13,0.06104,0.92826,1,0.29641,0.0003763,0.0003763,0.0003763
65,737.427,0.0571,0.9256,1,0.30295,0.0003664,0.0003664,0.0003664
66,748.874,0.06397,0.93534,1,0.2663,0.0003565,0.0003565,0.0003565
67,759.798,0.05556,0.93268,1,0.26355,0.0003466,0.0003466,0.0003466
68,771.443,0.0588,0.9318,1,0.27284,0.0003367,0.0003367,0.0003367
69,782.38,0.05746,0.92471,1,0.30215,0.0003268,0.0003268,0.0003268
70,793.755,0.05468,0.92471,1,0.29286,0.0003169,0.0003169,0.0003169
71,804.994,0.05355,0.9318,1,0.2863,0.000307,0.000307,0.000307
72,816.088,0.04696,0.92826,1,0.29081,0.0002971,0.0002971,0.0002971
73,827.093,0.0547,0.92383,1,0.30834,0.0002872,0.0002872,0.0002872
74,838.54,0.05303,0.92914,1,0.28395,0.0002773,0.0002773,0.0002773
75,849.418,0.04941,0.92471,1,0.30068,0.0002674,0.0002674,0.0002674
76,860.632,0.04938,0.93003,1,0.30553,0.0002575,0.0002575,0.0002575
77,872.274,0.04737,0.92826,1,0.30101,0.0002476,0.0002476,0.0002476
78,883.553,0.04787,0.93534,1,0.2807,0.0002377,0.0002377,0.0002377
79,895.066,0.04387,0.93268,1,0.28299,0.0002278,0.0002278,0.0002278
80,906.317,0.04179,0.93003,1,0.29017,0.0002179,0.0002179,0.0002179
81,917.601,0.04375,0.93623,1,0.28199,0.000208,0.000208,0.000208
