epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,854.704,0.04737,0.92826,1,0.30101,0.0002476,0.0002476,0.0002476
78,865.726,0.04787,0.93534,1,0.2807,0.0002377,0.0002377,0.0002377
79,876.97,0.04387,0.93268,1,0.28299,0.0002278,0.0002278,0.0002278
80,887.925,0.04179,0.93003,1,0.29017,0.0002179,0.0002179,0.0002179
81,899.092,0.04375,0.93623,1,0.28199,0.000208,0.000208,0.000208
82,910.559,0.04696,0.92205,1,0.29415,0.0001981,0.0001981,0.0001981
83,921.905,0.0469,0.92737,1,0.29316,0.0001882,0.0001882,0.0001882
84,933.012,0.04737,0.92471,1,0.29837,0.0001783,0.0001783,0.0001783
85,943.662,0.0419,0.92737,1,0.30819,0.0001684,0.0001684,0.0001684
86,954.71,0.03766,0.92383,1,0.30931,0.0001585,0.0001585,0.0001585
87,965.688,0.0376,0.93268,1,0.29795,0.0001486,0.0001486,0.0001486
88,976.872,0.03951,0.93091,1,0.30967,0.0001387,0.0001387,0.0001387
89,987.282,0.04659,0.93534,1,0.3021,0.0001288,0.0001288,0.0001288
90,998.314,0.0384,0.93268,1,0.29399,0.0001189,0.0001189,0.0001189
91,1011.3,0.03837,0.9318,1,0.29092,0.000109,0.000109,0.000109
92,1022.62,0.04032,0.93357,1,0.29279,9.91e-05,9.91e-05,9.91e-05
93,1033.23,0.03974,0.93268,1,0.28845,8.92e-05,8.92e-05,8.92e-05
94,1044.65,0.03511,0.93357,1,0.29182,7.93e-05,7.93e-05,7.93e-05
95,1055.11,0.03243,0.93446,1,0.29605,6.94e-05,6.94e-05,6.94e-05
96,1065.89,0.03884,0.93446,1,0.29384,5.95e-05,5.95e-05,5.95e-05
97,1077.18,0.0352,0.93446,1,0.29519,4.96e-05,4.96e-05,4.96e-05
98,1088.01,0.03116,0.93357,1,0.29472,3.97e-05,3.97e-05,3.97e-05
99,1099.28,0.03416,0.93357,1,0.29409,2.98e-05,2.98e-05,2.98e-05
100,1110.51,0.03479,0.9318,1,0.29717,1.99e-05,1.99e-05,1.99e-05
